選手名,登録番号,卒業期,地区,ホームバンク,府県,脚質,生年月日,縁故選手,友人,練習仲間,練習グループ,師匠,弟子,好きな周長,好きな車番,好きな食べ物,嫌いな食べ物
今野　有樹,15378,115期,四国,松山,愛媛県,両,1997/5/15,今野 大輔（111期）,下野　義城（愛　媛・115期）、外田　心斗（愛　媛・115期）,宇根　秀俊（愛　媛・80期）、日野　友葵（愛　媛・108期）、今野　大輔（岡　山・111期）、田中　真彩（愛　媛・112期）,-,宇根　秀俊（愛　媛・80期）,-,400m,-,プリン、コーヒー,-
合志　正臣,13448,81期,九州,熊本,熊本県,追,1977/6/22,-,-,瓜生　崇智（熊　本・109期）、山川　奨太（熊　本・117期）、松本　憲斗（熊　本・119期）、米村　光星（熊　本・121期）、田中　会心（熊　本・123期）、小山　峻汰（熊　本・125期）、徳永　泰粋（熊　本・123期）,-,青木　宏親（熊　本・13期）,瓜生　崇智（熊　本・109期）、山川　奨太（熊　本・117期）、松本　憲斗（熊　本・119期）、田中　会心（熊　本・123期）、小山　峻汰（熊　本・125期）,-,2,蜂楽饅頭,にんじん
後藤　大輝,15649,121期,九州,久留米,福岡県,逃,2001/3/25,-,太田　海也（岡　山・121期）、小西　晴己（三　重・121期）、室井蓮太朗（徳　島・121期）、米村　光星（熊　本・121期）、近藤　雄太（岡　山・121期）、福田　要（宮　崎・121期）,桑原　亮（福　岡・91期）、田中　誠（福　岡・89期）、竹内　真一（福　岡・89期）,東脊振グループ,桑原　亮（福　岡・91期）,-,400m,3,グリーンピースご飯､グラタン,なし
後藤　悠,15325,115期,北日本,-,岩手県,逃,1995/4/8,-,-,佐藤　友和（岩　手・88期）、佐藤　博紀（岩　手・96期）、高木　翔（岩　手・105期）、藤根　俊貴（岩　手・113期）、照井　拓成（岩　手・115期）、小笠原　光（岩　手・117期）,-,佐藤　友和（岩　手・88期）,-,400m,２・３・９,甘いもの,貝、きのこ、えび
齋木　翔多,15354,115期,南関東,静岡,静岡県,逃,1998/11/12,-,蒋野　翔太（徳　島・115期）,-,-,黒田　直記（静　岡・72期）,-,400m,１・３,ラーメン、オムライス、焼肉,アボカド
才迫　開,14883,101期,中国,広島,広島県,両,1992/2/25,才迫 実(父55期・引退)才迫 勇馬(兄95期),-,-,-,野里　逸善（広　島・82期）,-,-,-,お好み焼き、汁なし担々麺,セロリ
斉藤　樂,15690,123期,北日本,-,宮城県,逃,2002/4/3,-,半田　誠（熊　本・123期）、山元　大夢（石　川・123期）、堀越　翔己（福　岡・123期）、火島　裕輝（愛　媛・123期）、橋本　宇宙（佐　賀・123期）、岡部　伶音（福　島・123期）,荻原　尚人（宮　城・89期）、櫻井　正孝（宮　城・100期）、阿部　拓真（宮　城・107期）、上遠野拓馬（宮　城・119期）、菊地　圭（宮　城・123期）,-,荻原　尚人（宮　城・89期）,-,333m,9,プリン、餃子,パクチー
齊藤　竜也,12819,73期,南関東,川崎,神奈川県,追,1974/12/13,-,-,-,川崎朝練,天笠　眞（神奈川・48期）,-,400m,-,ラーメン,-
齋藤　登志信,13306,80期,北日本,-,宮城県,追,1972/11/8,-,-,-,-,矢萩　利憲（山　形・33期）,-,-,3,-,-
佐伯　翔,14574,97期,北日本,いわき平,福島県,追,1987/4/20,-,本多　哲也（千　葉・97期）、山田　哲也（愛　知・99期）、金澤　幸司（福　島・91期）、関根　彰人（沖　縄・94期）、伊東　翔貴（福　島・100期）、須永　優太（福　島・94期）、金澤　竜二（福　島・91期）,平根　優大（福　島・125期）,TeamZwift、平工業ＯＢ会,小川　信明（福　島・43期）,平根　優大（福　島・125期）,-,-,-,-
佐伯　亮輔,15276,113期,中国,玉野,岡山県,逃,1994/7/14,-,嘉永　泰斗（熊　本・113期）、山中　崇弘（高　知・113期）、磯川　勝裕（東　京・113期）、樋口　開土（東　京・113期）、栗本　尚宗（千　葉・113期）,河端　朋之（岡　山・95期）、山根　将太（岡　山・119期）、松下　綾馬（岡　山・121期）,安田グループ,河端　朋之（岡　山・95期）,山根　将太（岡　山・119期）、松下　綾馬（岡　山・121期）,500m,1,妻の手料理,すいか、メロン
酒井　雄多,15086,109期,北日本,-,福島県,逃,1996/1/30,-,-,-,-,成田　和也（福　島・88期）,-,-,9,メロン,マシュマロ
坂井　洋,15341,115期,関東,宇都宮,栃木県,両,1994/10/25,-,天野　純平（佐　賀・115期）、原田　亮太（千　葉・115期）,幸田　望夢（栃　木・115期）、福田　滉（栃　木・115期）、眞杉　匠（栃　木・113期）、上川　直紀（栃　木・117期）、貝原　涼太（栃　木・125期）,-,星野　辰也（栃　木・95期）,貝原　涼太（栃　木・125期）,400m,-,梨、きゅうり,-
坂口　晃輔,14472,95期,中部,四日市,三重県,追,1988/3/22,-,-,-,北勢クラブ,水谷　弘泰（三　重・52期）,-,-,-,-,-
坂田　康季,15653,121期,九州,武雄,佐賀県,逃,1998/5/28,-,久保　光司（佐　賀・119期）、日高　裕太（静　岡・121期）、近谷　涼（富　山・121期）、一丸　尚伍（大　分・121期）,久保　光司（佐　賀・119期）、立部　楓真（佐　賀・115期）、橋本　宇宙（佐　賀・123期）、青柳　靖起（佐　賀・117期）,-,原　司（佐　賀・70期）,-,400m,-,焼肉、青魚,焼きすぎたお肉
佐方　良行,14631,97期,九州,熊本,熊本県,追,1980/10/18,-,-,-,-,矢野　良和（熊　本・54期）,-,-,１・３・７,パフェ・納豆・肉・ごはん,グリーンピース
阪本　和也,15386,115期,九州,佐世保,長崎県,追,1995/5/16,阪本 正和（70期）、阪本 大志（95期）,野上　竜太（岡　山・115期）、小原　佑太（青　森・115期）、原井　博斗（福　岡・115期）、立部　楓真（佐　賀・115期）、星野　洋輝（福　島・115期）,-,-,川島　勝（長　崎・89期）,-,400m,１・２・３・７,焼き肉,梅干し
坂本　健太郎,13808,86期,九州,久留米,福岡県,両,1980/7/18,坂本 亮馬(弟90期),高木　和仁（福　岡・76期）,-,-,中原　優（福　岡・44期）,-,333m,２・３,焼肉、和菓子、コーヒー,牛乳
坂本　修一,14769,99期,中国,玉野,岡山県,追,1987/10/11,-,-,-,-,上原　直樹（岡　山・75期）,-,-,2,カレー・焼肉,ピーマン・ウニ
坂本　周輝,14792,100期,北日本,青森,青森県,両,1991/4/24,坂本 貴史(兄94期)坂本 勉(父57期・引退)坂本 典男(叔父51期・引退)坂本 昌宏(従兄91期)坂本 周作(従弟105期)磯島 康祐(従弟105期),-,-,八戸地区,坂本　勉（青　森・57期）,-,-,2,肉,なし
坂本　周作,14982,105期,北日本,-,青森県,逃,1992/5/13,坂本 典男(父51期・引退)坂本 勉(叔父57期・引退)坂本 周輝(従兄100期)坂本 昌宏(兄91期)磯島 康祐(従兄105期)坂本 貴史(従兄94期)磯島成介(従弟115期）坂本紘規(117期),-,坂本　昌宏（青　森・91期）、坂本　貴史（青　森・94期）、坂本　周輝（青　森・100期）、新山　将史（青　森・98期）、新山　響平（青　森・107期）、永澤　剛（青　森・91期）、高橋　陽介（青　森・89期）、日当　泰之（青　森・92期）、嵯峨昇喜郎（青　森・113期）、磯島　康祐（青　森・105期）,-,坂本　典男（青　森・51期）,-,-,１・２,焼き肉,納豆
坂本　貴史,14348,94期,北日本,-,青森県,両,1989/2/16,坂本 勉(父57期・引退)坂本 周輝(弟100期)坂本 昌宏(従兄91期)磯島 康祐(従弟105期)坂本 周作(従弟105期)坂本 典男(叔父51期・引退)坂本絋規（弟117期）磯島成介（従弟115期）,-,坂本　昌宏（青　森・91期）、坂本　紘規（青　森・117期）、新山　将史（青　森・98期）、坂本　周輝（青　森・100期）、堀　航輝（青　森・121期）、坂本　周作（青　森・105期）、新山　響平（青　森・107期）、磯島　康祐（青　森・105期）、千澤　大輔（青　森・95期）、大和久保美（青　森・102期）,-,坂本　勉（青　森・57期）,坂本　紘規（青　森・117期）、堀　航輝（青　森・121期）,-,１・３,レバ刺し・牛タン,-
坂本　紘規,15415,117期,北日本,-,青森県,逃,1996/8/8,坂本勉（父・57期）坂本典男（伯父・51期）坂本貴史（兄・94期）坂本昌宏（従兄弟・91期）坂本周輝（兄・100期）坂本周作（従兄弟・105期）磯島成介（従兄弟・115期）磯島康祐（従兄弟・105期）,江連　和洋（栃　木・76期）,-,-,坂本　貴史（青　森・94期）,-,400m,9,肉,辛いもの
坂本　亮馬,14114,90期,九州,久留米,福岡県,追,1985/5/3,坂本 健太郎(兄86期),桑原　亮（福　岡・91期）、新田　祐大（福　島・90期）、高橋　雅之（千　葉・90期）、松岡　貴久（熊　本・90期）、廣川　泰昭（愛　媛・90期）、篠塚　光一（兵　庫・90期）,原口　昌平（福　岡・107期）、津村洸次郎（福　岡・101期）,-,加倉　正義（福　岡・68期）,-,-,1,バースデーケーキ,あたたかい物が冷えた時
嵯峨　昇喜郎,15235,113期,北日本,-,青森県,両,1998/12/26,-,伊藤　歩登（兵　庫・113期）、吉元　大生（静　岡・113期）、森田　優弥（埼　玉・113期）、福永　大智（大　阪・113期）、山田　諒（岐　阜・113期）、眞杉　匠（栃　木・113期）,永澤　剛（青　森・91期）、高橋　陽介（青　森・89期）、日当　泰之（青　森・92期）、木村　弘（青　森・100期）、坂本　周輝（青　森・100期）、坂本　周作（青　森・105期）,-,永澤　剛（青　森・91期）,-,400m,1,ラーメン,なす
佐川　翔吾,14399,94期,近畿,奈良,大阪府,両,1984/5/1,-,-,肥後　公允（奈　良・91期）、岡崎　和久（奈　良・78期）,阪奈グループ,前田　新（大　阪・68期）,福永　大智（大　阪・113期）,500m,１・２・３,甘味,辛味
櫻井　学,13618,84期,関東,前橋,群馬県,両,1979/10/21,-,-,-,鈴木道場,鈴木　一正（群　馬・48期）,南　彩乃（群　馬・112期）,-,１・５,鶏肉,魚貝類
櫻井　正孝,14795,100期,北日本,-,宮城県,追,1987/8/7,-,井上　将志（福　岡・98期）,和田　圭（宮　城・92期）、阿部　力也（宮　城・100期）、荻原　尚人（宮　城・89期）、菅田　壱道（宮　城・91期）、三浦　雄大（宮　城・98期）、上遠野拓馬（宮　城・119期）、阿部　拓真（宮　城・107期）,荻原一門,荻原　尚人（宮　城・89期）,阿部架惟都（宮　城・115期）、菅野　航基（宮　城・119期）,-,1,ラーメン,甘いもの
櫻井　祐太郎,15417,117期,北日本,-,宮城県,逃,1999/9/12,-,道場　晃規（静　岡・117期）、内藤　久文（愛　知・117期）、村田　瑞季（京　都・117期）、兼本　将太（熊　本・117期）、中村　隆生（栃　木・117期）、枠元　一葵（福　井・117期）,和田　圭（宮　城・92期）、原　大智（宮　城・117期）、三浦　大輝（宮　城・111期）,-,和田　圭（宮　城・92期）,-,400m,3,ラーメン,レバー
佐々木　和紀,15438,117期,南関東,川崎,神奈川県,追,1997/2/21,佐々木龍也(５７期）佐々木龍（109期）佐々木眞也（117期）,-,松坂　英司（神奈川・82期）、松谷　秀幸（神奈川・96期）、佐々木　龍（神奈川・109期）、佐々木眞也（神奈川・117期）,-,佐々木龍也（神奈川・57期）,-,-,１・２・３・４,焼肉､タンカン,なし
佐々木　堅次,15239,113期,北日本,いわき平,福島県,両,1994/10/29,-,薦田　将伍（愛　媛・113期）、藤根　俊貴（岩　手・113期）,高桑　由昇（福　島・81期）、駒場　智城（福　島・98期）、相笠　翔太（福　島・96期）、真船　拓磨（福　島・96期）、大島　将人（福　島・94期）、相良　勝美（福　島・70期）,-,高桑　由昇（福　島・81期）,-,400m,1,カレー、ラーメン,なし
佐々木　豪,15125,109期,四国,松山,愛媛県,逃,1996/3/16,-,吉岡伸太郎（愛　媛・105期）、高山　雄丞（愛　媛・109期）,吉田　智哉（愛　媛・111期）、和泉　尚吾（愛　媛・117期）、中岡　海（愛　媛・123期）,佐々木一門,-,中岡　海（愛　媛・123期）,-,1,お好み焼き,レバー
佐々木　翔一,14337,93期,九州,武雄,佐賀県,両,1986/10/27,佐々木 和徳(父51期・引退)佐々木 昭彦(叔父43期・引退)佐々木 浩三(叔父50期),-,-,佐々木レーシング,三槻　智清（佐　賀・80期）,-,-,1,焼肉,えび
佐々木　眞也,15439,117期,南関東,川崎,神奈川県,両,1994/8/9,佐々木龍也（父・57期）佐々木龍（兄・109期）佐々木和紀（弟・117期）,-,松坂　英司（神奈川・82期）、松谷　秀幸（神奈川・96期）、佐々木　龍（神奈川・109期）、佐々木和紀（神奈川・117期）,-,佐々木龍也（神奈川・57期）,-,-,1,お好み焼き,なし
佐々木　則幸,13295,79期,四国,高知,高知県,追,1976/9/3,-,林　明宏（高　知・79期）,掛水　泰範（高　知・98期）,-,佐々木　周（高　知・27期）,-,-,3,焼肉,イクラ
佐々木　雄一,13532,83期,北日本,-,福島県,追,1980/1/3,-,-,十文字菊雄（福　島・75期）,-,班目　秀雄（福　島・24期）,-,-,１・３,ラーメン,シーフード類
佐々木　悠葵,15343,115期,関東,前橋,群馬県,両,1995/8/4,-,伊藤　颯馬（沖　縄・115期）、竹元　健竜（福　岡・115期）、城戸　俊潔（岡　山・115期）、星野　洋輝（福　島・115期）、張野　幸聖（和歌山・115期）,矢口啓一郎（群　馬・86期）、三好恵一郎（群　馬・99期）、小林　泰正（群　馬・113期）、中島　将尊（東　京・105期）、蕗澤鴻太郎（群　馬・111期）、金子　真也（群　馬・69期）,-,矢口啓一郎（群　馬・86期）,-,333m,１・２,きつねうどん,パクチー
佐々木　龍,15094,109期,南関東,川崎,神奈川県,追,1990/10/31,佐々木 龍也(父57期)、佐々木眞也（弟117期）、佐々木和紀（弟117期）,佐藤　裕輝（福　島・98期）,松谷　秀幸（神奈川・96期）、松坂　英司（神奈川・82期）、佐々木眞也（神奈川・117期）、佐々木和紀（神奈川・117期）,-,佐々木龍也（神奈川・57期）,-,-,１・９,崎陽軒のシウマイ弁当,-
